DATE,sprtrn
2023-11-21,-0.002021
2023-11-22,0.004061
2023-11-24,0.000597
2023-11-27,-0.001954
2023-11-28,0.000980
2023-11-29,-0.000946
2023-11-30,0.003784
2023-12-01,0.005874
2023-12-04,-0.005408
2023-12-05,-0.000569
2023-12-06,-0.003906
2023-12-07,0.007968
2023-12-08,0.004095
2023-12-11,0.003925
2023-12-12,0.004599
2023-12-13,0.013651
2023-12-14,0.002647
2023-12-15,-0.000076
2023-12-18,0.004528
2023-12-19,0.005866
2023-12-20,-0.014684
2023-12-21,0.010301
2023-12-22,0.001660
2023-12-26,0.004232
2023-12-27,0.001430
2023-12-28,0.000370
2023-12-29,-0.002826
